ID	Edad	Ingresos	Visitas
Abril	40	29	31
Aina	21	30	73
Aleix	20	21	66
Alex	22	17	76
Arlet	53	33	4
Arnau	37	20	13
Biel	23	18	94
Bruno	58	20	15
Carla	21	33	81
Chloe	42	34	17
Claudia	20	37	75
Emma	25	24	73
Enzo	22	20	79
Eric	24	20	77
Hugo	67	19	14
Jan	21	15	81
Jana	49	33	14
Julia	35	24	35
Laia	35	28	61
Leo	31	17	40
Lia	30	34	73
Liam	35	19	99
Lucas	30	19	72
Lucia	54	28	14
Marc	19	15	39
Maria	23	29	87
Marti	35	18	6
Martina	46	25	5
Mateo	52	23	29
Max	35	21	35
Mia	31	25	73
Nil	23	16	77
Noa	60	30	4
Ona	29	28	82
Pau	64	19	3
Paula	18	33	92
Pol	20	16	6
Roc	35	23	98
Sara	36	37	26
Sofia	45	28	32
