id_empleat;nom;ciutat;departament;nivell_estudis;edat;anys_experiencia;salari_brut_anual;vendes_mensuals;satisfaccio_laboral;hores_teletreball_setmana;data_contractacio;te_carnet_conduir
1;Roger Serra;Sabadell;Màrqueting;Grau;23;0,3;22689,83;5;9,2;0;2021-08-15;No
2;Laia Puig;Lleida;Màrqueting;Batxillerat;27;3,4;44776,71;5;6,8;0;2020-01-14;No
3;Carla Sala;Tarragona;Atenció al Client;Doctorat;22;0,3;24597,26;2;3,7;2;2016-02-01;No
4;Irene Prat;Sabadell;Vendes;Doctorat;60;16,1;54032,17;24;3,6;1;2024-04-20;No
5;Gerard Roca;Barcelona;Atenció al Client;Grau;26;3,9;54467,97;1;9,1;2;2018-02-12;No
6;Roger Sala;Tarragona;Tecnologia;Màster;45;5,0;35401,52;5;3,5;4;2016-12-01;Sí
7;Marta Riera;Sabadell;Atenció al Client;Grau;46;17,1;49342,67;0;4,6;0;2024-01-11;No
8;Xavier Font;Lleida;Finances;Màster;26;1,1;45362,7;5;6,2;1;2016-07-25;Sí
9;Sara Soler;Sabadell;Atenció al Client;Doctorat;56;26,9;33378,42;1;10,0;0;2020-09-18;No
10;Jordi Vila;Girona;Màrqueting;Grau;25;3,2;34197,76;0;5,7;3;2020-04-01;No
11;Cristina Sala;Girona;Atenció al Client;Màster;22;0,8;31246,32;2;6,0;2;2015-01-14;No
12;Sergi Vila;Reus;Vendes;Màster;33;10,1;37275,86;12;4,1;5;2016-10-23;Sí
13;Berta Prat;Barcelona;Vendes;Màster;53;26,4;48939,96;19;4,7;0;2024-11-05;Sí
14;Jordi Camps;Girona;Finances;Grau;53;3,9;41886,37;2;6,7;3;2019-09-30;Sí
15;Meritxell Soler;Sabadell;Recursos Humans;Màster;34;5,7;37632,73;0;4,7;0;2018-10-16;Sí
16;Gerard Soler;Vic;Màrqueting;Batxillerat;36;1,1;41719,71;1;3,5;0;2024-08-22;No
17;Jordi Soler;Sabadell;Atenció al Client;Doctorat;37;3,4;23763,23;4;7,0;0;2023-10-19;No
18;Carla Costa;Girona;Vendes;Doctorat;34;4,6;33799,68;3;7,7;4;2016-02-08;Sí
19;Xavier Camps;Girona;Màrqueting;Grau;43;4,2;35150,09;3;4,3;2;2017-10-20;Sí
20;Ferran Vila;Girona;Vendes;Batxillerat;57;29,1;52349,21;15;4,2;2;2020-05-25;Sí
21;Irene Costa;Tarragona;Recursos Humans;Batxillerat;25;3,9;28547,31;3;5,0;4;2023-03-12;No
22;Pau Roca;Lleida;Vendes;Batxillerat;40;14,2;21057,95;37;6,3;5;2020-12-15;Sí
23;Laia Soler;Tarragona;Vendes;Batxillerat;27;4,1;27467,34;7;9,6;3;2017-10-05;Sí
24;Berta Serra;Vic;Finances;Màster;48;25,2;31445,81;1;4,9;0;2022-07-14;No
25;Ferran Prat;Barcelona;Recursos Humans;Batxillerat;26;0,4;26673,56;2;3,9;1;2024-11-17;Sí
26;Bernat Roca;Sabadell;Màrqueting;Doctorat;45;20,0;44327,44;4;9,9;5;2022-05-02;Sí
27;Alba Sala;Sabadell;Atenció al Client;Batxillerat;57;28,2;23834,48;0;9,2;4;2021-03-16;Sí
