Id	Nom	Genere	Color	Edat	Pes
1	Laia	Dona	Vermell	73	55,2
2	Pau	Home	Blau	59	86,8
3	Clara	Dona	Groc	36	59,3
4	Eloi	Home	Lila	32	88,0
5	Anna	Dona	Blau	13	83,8
6	Oriol	Home	Blau	44	75,9
7	Clara	Dona	Groc	78	77,9
8	Marc	Home	Vermell	61	84,8
9	Raquel	Dona	Vermell	40	75,9
10	Carme	Dona	Verd	73	57,1
11	Oriol	Home	Lila	16	56,8
12	Pol	Home	Groc	42	65,6
13	Laia	Dona	Groc	67	57,7
14	Oriol	Home	Vermell	77	79,6
15	Laia	Dona	Verd	55	85,1
16	Marta	Dona	Blau	11	55,2
17	Pau	Home	Vermell	82	57,7
18	Clara	Dona	Vermell	78	69,2
19	Oriol	Home	Groc	36	58,1
20	Marc	Home	Verd	64	64,4
21	Jordi	Home	Lila	58	53,9
22	Marc	Home	Vermell	27	57,2
23	Roger	Home	Vermell	67	55,2
24	Carme	Dona	Lila	81	83,5
25	Anna	Dona	Lila	67	51,5
26	Clara	Dona	Vermell	75	62,7
27	Oriol	Home	Blau	62	68,0
28	Emma	Home	Verd	67	72,2
29	Marta	Dona	Verd	10	81,7
30	Pol	Home	Groc	58	77,0
31	Marta	Dona	Vermell	77	74,6
32	Clara	Dona	Lila	38	63,5
33	Oriol	Home	Verd	17	55,3
34	Gemma	Dona	Vermell	63	63,0
35	Marta	Dona	Verd	56	54,7
36	Oriol	Home	Groc	55	67,1
37	Olga	Dona	Vermell	53	89,7
38	Anna	Dona	Verd	23	52,0
39	Irene	Dona	Blau	32	71,6
40	Oriol	Home	Lila	27	83,2
41	Emma	Dona	Verd	74	66,3
42	Eloi	Home	Groc	42	85,8
43	Roger	Home	Blau	47	61,7
44	Laia	Dona	Blau	17	81,6
45	Marta	Dona	Blau	65	53,6
46	Laia	Dona	Lila	31	76,3
47	Pau	Home	Blau	65	89,2
48	Anna	Dona	Blau	23	77,3
49	Marc	Home	Verd	66	60,7
50	Anna	Dona	Groc	60	73,2
51	Vicent	Home	Groc	4098	78.2
